item,title,genre,publicationdate,imdb,imdbs
http://www.wikidata.org/entity/Q10381377,The Fighting Trail,silent film,1917-09-10T00:00:00Z,tt0007945,https://www.imdb.com/title/tt0007945/
http://www.wikidata.org/entity/Q10381377,The Fighting Trail,serial film,1917-09-10T00:00:00Z,tt0007945,https://www.imdb.com/title/tt0007945/
http://www.wikidata.org/entity/Q52084096,Your Obedient Servant,silent film,1917-09-15T00:00:00Z,tt0008798,https://www.imdb.com/title/tt0008798/
http://www.wikidata.org/entity/Q52112428,Salt of the Earth,Western film,1917-12-17T00:00:00Z,tt0127266,https://www.imdb.com/title/tt0127266/
http://www.wikidata.org/entity/Q52112428,Salt of the Earth,silent film,1917-12-17T00:00:00Z,tt0127266,https://www.imdb.com/title/tt0127266/
http://www.wikidata.org/entity/Q969250,Hearts of the World,drama film,1918-03-12T00:00:00Z,tt0009150,https://www.imdb.com/title/tt0009150/
http://www.wikidata.org/entity/Q969250,Hearts of the World,war film,1918-03-12T00:00:00Z,tt0009150,https://www.imdb.com/title/tt0009150/
http://www.wikidata.org/entity/Q969250,Hearts of the World,silent film,1918-03-12T00:00:00Z,tt0009150,https://www.imdb.com/title/tt0009150/
http://www.wikidata.org/entity/Q969250,Hearts of the World,propaganda film,1918-03-12T00:00:00Z,tt0009150,https://www.imdb.com/title/tt0009150/
http://www.wikidata.org/entity/Q10381344,The Eagle's Eye,war film,1918-03-27T00:00:00Z,tt0009029,https://www.imdb.com/title/tt0009029/
http://www.wikidata.org/entity/Q10381344,The Eagle's Eye,spy film,1918-03-27T00:00:00Z,tt0009029,https://www.imdb.com/title/tt0009029/
http://www.wikidata.org/entity/Q10381344,The Eagle's Eye,serial film,1918-03-27T00:00:00Z,tt0009029,https://www.imdb.com/title/tt0009029/
http://www.wikidata.org/entity/Q10381344,The Eagle's Eye,silent film,1918-03-27T00:00:00Z,tt0009029,https://www.imdb.com/title/tt0009029/
http://www.wikidata.org/entity/Q3986793,The End of the Road,drama film,1919-02-16T00:00:00Z,tt0010088,https://www.imdb.com/title/tt0010088/
http://www.wikidata.org/entity/Q3986793,The End of the Road,silent film,1919-02-16T00:00:00Z,tt0010088,https://www.imdb.com/title/tt0010088/
http://www.wikidata.org/entity/Q52122035,Speedy Meade,Western film,1919-03-23T00:00:00Z,tt0171776,https://www.imdb.com/title/tt0171776/
http://www.wikidata.org/entity/Q52122035,Speedy Meade,silent film,1919-03-23T00:00:00Z,tt0171776,https://www.imdb.com/title/tt0171776/
http://www.wikidata.org/entity/Q5366862,Elmo the Mighty,Western film,1919-06-16T00:00:00Z,tt0010085,https://www.imdb.com/title/tt0010085/
http://www.wikidata.org/entity/Q5366862,Elmo the Mighty,silent film,1919-06-16T00:00:00Z,tt0010085,https://www.imdb.com/title/tt0010085/
http://www.wikidata.org/entity/Q5366862,Elmo the Mighty,serial film,1919-06-16T00:00:00Z,tt0010085,https://www.imdb.com/title/tt0010085/
http://www.wikidata.org/entity/Q3988331,The Miracle Man,drama film,1919-08-26T00:00:00Z,tt0010466,https://www.imdb.com/title/tt0010466/
http://www.wikidata.org/entity/Q3988331,The Miracle Man,silent film,1919-08-26T00:00:00Z,tt0010466,https://www.imdb.com/title/tt0010466/
http://www.wikidata.org/entity/Q20092811,Sacred Silence,silent film,1919-10-12T00:00:00Z,tt0010651,https://www.imdb.com/title/tt0010651/
http://www.wikidata.org/entity/Q20092811,Sacred Silence,drama film,1919-10-12T00:00:00Z,tt0010651,https://www.imdb.com/title/tt0010651/
http://www.wikidata.org/entity/Q52124203,A Misfit Earl,silent film,1919-11-16T00:00:00Z,tt0010468,https://www.imdb.com/title/tt0010468/
http://www.wikidata.org/entity/Q52124203,A Misfit Earl,comedy film,1919-11-16T00:00:00Z,tt0010468,https://www.imdb.com/title/tt0010468/
http://www.wikidata.org/entity/Q3987716,The Invisible Bond,drama film,1919-11-23T00:00:00Z,tt0010301,https://www.imdb.com/title/tt0010301/
http://www.wikidata.org/entity/Q3987716,The Invisible Bond,silent film,1919-11-23T00:00:00Z,tt0010301,https://www.imdb.com/title/tt0010301/
http://www.wikidata.org/entity/Q29071544,Should a Woman Tell?,drama film,1919-12-28T00:00:00Z,tt0010694,https://www.imdb.com/title/tt0010694/
http://www.wikidata.org/entity/Q51926688,The Key to Power,drama film,1920-01-01T00:00:00Z,tt0009254,https://www.imdb.com/title/tt0009254/
http://www.wikidata.org/entity/Q51926688,The Key to Power,silent film,1920-01-01T00:00:00Z,tt0009254,https://www.imdb.com/title/tt0009254/
http://www.wikidata.org/entity/Q1253932,Dr. Jekyll and Mr. Hyde,science fiction film,1920-03-18T00:00:00Z,tt0011130,https://www.imdb.com/title/tt0011130/
http://www.wikidata.org/entity/Q1253932,Dr. Jekyll and Mr. Hyde,silent film,1920-03-18T00:00:00Z,tt0011130,https://www.imdb.com/title/tt0011130/
http://www.wikidata.org/entity/Q1253932,Dr. Jekyll and Mr. Hyde,film based on literature,1920-03-18T00:00:00Z,tt0011130,https://www.imdb.com/title/tt0011130/
http://www.wikidata.org/entity/Q1253932,Dr. Jekyll and Mr. Hyde,horror film,1920-03-18T00:00:00Z,tt0011130,https://www.imdb.com/title/tt0011130/
http://www.wikidata.org/entity/Q56452597,Lifting Shadows,drama film,1920-04-04T00:00:00Z,tt0011403,https://www.imdb.com/title/tt0011403/
http://www.wikidata.org/entity/Q56452597,Lifting Shadows,silent film,1920-04-04T00:00:00Z,tt0011403,https://www.imdb.com/title/tt0011403/
http://www.wikidata.org/entity/Q7728832,The Dancin' Fool,romantic comedy,1920-05-02T00:00:00Z,tt0011089,https://www.imdb.com/title/tt0011089/
http://www.wikidata.org/entity/Q7728832,The Dancin' Fool,silent film,1920-05-02T00:00:00Z,tt0011089,https://www.imdb.com/title/tt0011089/
http://www.wikidata.org/entity/Q43303267,Number 99,drama film,1920-05-23T00:00:00Z,tt0196805,https://www.imdb.com/title/tt0196805/
http://www.wikidata.org/entity/Q43303267,Number 99,thriller,1920-05-23T00:00:00Z,tt0196805,https://www.imdb.com/title/tt0196805/
http://www.wikidata.org/entity/Q43303267,Number 99,silent film,1920-05-23T00:00:00Z,tt0196805,https://www.imdb.com/title/tt0196805/
